⚠️  Attention, mes résultats peuvent être inexacts : ses signaux de fraîcheur disent « possible oubli », jamais « oubli avéré ». À vérifier avant d'agir, jamais un verdict acquis.
=== CIRCLE-TASKS — Ronde périodique ===

| Item | Coût API | Tokens Claude (estimation) | Fraîcheur |
| 📄 Vérifier que les idées de gros chantier sont bien dans leur fichier préliminaire, et que leur valeur y est vraiment restituée | gratuit — relit docs/suivi/ et croise avec le registre CHANTIER_PRELIMINARY_FILES, aucun appel API | faible — parcours mécanique de fichiers déjà en mémoire de travail | aucun écart détecté |
| 📄 Vérifier que les outils apprennent — et que je les aide vraiment à progresser | gratuit — relit les registres et les traces déjà produits, aucun appel API | faible — lecture de journaux existants | pas de signal de fraîcheur mécanique disponible |
| 📄 Récapitulatif complet des évaluations — qui juge qui, sur quelles bases, avec quel résultat | gratuit — relit des mesures déjà collectées par huit outils, aucun appel API | moyen — assemble des verdicts déjà produits, n'en recalcule aucun | pas de signal de fraîcheur mécanique disponible |
| 📄 Vérifier qu'aucune idée nouvelle n'attend encore une décision (fichier / abandon / entre-deux) | gratuit — relit docs/suivi/ et docs/idees-a-trancher.md, aucun appel API | faible — parcours mécanique de fichiers déjà en mémoire de travail | aucune idée en attente |
| 📄 Scanner les schémas de consommation API (Smart Conso API) | gratuit — node scripts/smart-conso-api.mjs scan, lecture de l'historique déjà accumulé, zéro nouvel appel API | faible — sortie compacte d'un script | 3 jour(s) depuis la dernière décision archivée |
| 📄 Scanner le poids des documents de travail (SMART-CONSO-TOKEN) | gratuit — scan de portée Global, lecture de fichiers, zéro appel API | faible à modéré — sortie du scan + lecture des fichiers qu'il pointe comme volumineux | 0 jour(s) depuis le dernier scan archivé |
| 📄 check-tasks-details — rapport de Ronde (chiffres vérifiés, état du projet, œil critique, 3 zooms) | gratuit — relecture seule de docs/suivi/, zéro appel API | modéré — quatre parties dont l'état détaillé aux trois zooms, le plus long rapport de la Ronde | pas de signal de fraîcheur mécanique disponible |
| 📄 Rapport tool-brain (usage réel des outils + auto-diagnostic) | gratuit — relit .tool-usage-history.json (compteur déjà existant), zéro appel API | faible — sortie compacte du script | pas de signal de fraîcheur mécanique disponible |
| 📄 Régénérer la « photo » de la dream team (récap des outils nommés) | gratuit — lecture de la liste des outils déjà nommés dans CLAUDE.md/docs/regles-de-travail.md, mise en forme, zéro appel API | modéré — rédaction d'un document HTML complet à partir d'une liste déjà connue | pas de signal de fraîcheur mécanique disponible |
| 📄 Capturer et noter 2 captures d'écran (THE-SCREENER) | zéro appel à l'API Gemini pour le mécanisme lui-même (capture Playwright locale) — CONDITIONNEL : n'a de sens que si une session/un serveur avec un vrai état est déjà en cours ; ne jamais lancer une nouvelle simulation juste pour cet item | modéré — lecture vision de 2 images par l'agent + rédaction de la notation | pas de signal de fraîcheur mécanique disponible |
| 📄 Proposer une nouvelle édition INES-official si l'ancienne date | gratuit — lecture de l'index existant, l'édition elle-même (si proposée ensuite) reste 0 appel API | faible pour le signal seul ; élevé si l'édition complète est ensuite relue par l'agent (le corps reste local, jamais committé) | aucune édition jamais produite |
| 📄 Bilan RH complet de l'équipe (effectif, badges, tendance KPI) — CASSANDRA-RH | gratuit — relit checkAgentOnboarding()/kpi-historique.csv/tool-usage.mjs, jamais un second calcul, zéro appel API malgré le mode complet | modéré — rapport HTML complet (~9 000-12 500 octets mesurés), à chaque Ronde depuis le 2026-09-21 | pas de signal de fraîcheur mécanique disponible |
| 📄 Conformité des process — god-of-all-process (rapport unique, coupable nommé) | gratuit — relit les traces réelles sur le disque et relaie les verdicts des gardiens secondaires, zéro appel API | faible — un rapport texte court, une ligne par manquement réel | pas de signal de fraîcheur mécanique disponible |
| 📄 La donnée produite par l'équipe est-elle exploitée, ou écrite pour rien ? | gratuit — relit le code des scripts et la date des fichiers déjà sur le disque, zéro appel API | faible — un ratio, la liste des orphelines, quelques branchements suggérés | pas de signal de fraîcheur mécanique disponible |
| 📄 Chaque membre est-il RÉELLEMENT intégré partout (badge, docs, catalogue, Ronde) ? | gratuit — relit la table maîtresse, les documents et les registres déjà sur le disque, zéro appel API | faible — une ligne par membre incomplet, rien du tout quand l'équipe est complète | pas de signal de fraîcheur mécanique disponible |
| 📄 Organigramme de l'Agence Codex, reconstruit depuis les données réelles — CASSANDRA-RH | gratuit — dérive la table maîtresse, AGENT_CATEGORIES, GARDIEN_DOMAINS et les émetteurs de rapport, zéro appel API | faible — un rapport texte court (~2 000 caractères), jamais une relecture de fichiers entiers | pas de signal de fraîcheur mécanique disponible |
| 📄 Lancer le vrai garde-fou du dossier profil-utilisateur (fiches orphelines, liens morts) | gratuit — node scripts/check-profil-utilisateur.mjs, lecture de fichiers déjà sur disque, zéro appel API | faible — sortie compacte du script | pas de signal de fraîcheur mécanique disponible |
| 📄 Lancer une vraie synthèse LE-COORDINATEUR (runNetworkCheck) | gratuit — zéro appel API, mais plus lourd que les autres items de cette liste : relance check-house.mjs avec instrumentation de couverture V8 | modéré à élevé — sortie complète de la synthèse (tableau agrégeant check-house.mjs, AXA-CHECK, ARGUS, HARMONIA, ALWAYS-NEW-CODE, CLEAN-DIRTY-OLD) | pas de signal de fraîcheur mécanique disponible |
| 📄 Mettre à jour le catalogue d'offres nommé (LE-COORDINATEUR) | gratuit — node scripts/le-coordinateur.mjs catalogue, écrit une nouvelle version seulement si PRESTATIONS a réellement changé, zéro appel API | faible si inchangé (texte simple) ; modéré si nouveau (rédaction d'un rapport HTML complet) | pas de signal de fraîcheur mécanique disponible |
| ⚠️🔴 📄 THE-FINAL-JUDGE — audit indépendant | ⚠️🔴 COÛTEUX — ~37 000 tokens fixes (agent séparé), quel que soit le palier choisi | ~37 000 tokens fixes — le seul chiffre de ce paysage issu d'une vraie recherche documentée plutôt que d'une estimation à l'ordre de grandeur | jamais une routine — décision au cas par cas, à chaque fois |
| ⚠️🔴 📄 THE-DEEP-READER — relecture lourde du suivi (conversation vs docs/suivi) | ⚠️🔴 COÛTEUX — ~37 000 tokens fixes (agent séparé) + volume réel de la conversation à relire (variable, jamais fixe) | ~37 000 tokens fixes au minimum, plus selon la taille de l'historique fourni — jamais un chiffre constant contrairement à THE-FINAL-JUDGE | jamais une routine — décision au cas par cas, à chaque fois |
| 📄 HYPER-SCAN-CHECKPOINT — version légère (couche mécanique) | gratuit (zéro appel réseau) — mais la checklist qualitative qui suit reste un vrai passage à part, jamais automatisable | faible pour la partie mécanique elle-même ; la checklist qualitative qui suit (Article 21) reste un vrai coût de raisonnement variable, jamais estimable à l'avance | pas de signal de fraîcheur mécanique disponible |

Jamais exécuté seul : l'agent qui pilote ouvre une fenêtre à cocher (protocole AUTO/PRIME/GOAT, docs/regles-de-travail.md) pour choisir précisément quoi lancer.
⚠️🔴 THE-FINAL-JUDGE reste visible ci-dessus mais n'est JAMAIS coché par défaut — vérifie Smart Conso API ET SMART-CONSO-TOKEN avant de le sélectionner.
Rappel : les autres items coûteux du paysage (check-spirit.mjs, HYPER-SCAN-CHECKPOINT complet) restent hors de cette ronde pour l'instant, jamais des cases à cocher ici.
